"name"#"mpg"#"cyl"
"Mazda RX4"#21#6
"Mazda RX4 Wag"#21#6
"Datsun 710"#22.8#4
"Hornet 4 Drive"#21.4#6
"Hornet Sportabout"#18.7#8
"Valiant"#18.1#6
"Duster 360"#14.3#8
"Merc 240D"#24.4#4
"Merc 230"#22.8#4
"Merc 280"#19.2#6
"Merc 280C"#17.8#6
"Merc 450SE"#16.4#8
"Merc 450SL"#17.3#8
"Merc 450SLC"#15.2#8
"Cadillac Fleetwood"#10.4#8
"Lincoln Continental"#10.4#8
"Chrysler Imperial"#14.7#8
"Fiat 128"#32.4#4
"Honda Civic"#30.4#4
"Toyota Corolla"#33.9#4
"Toyota Corona"#21.5#4
"Dodge Challenger"#15.5#8
"AMC Javelin"#15.2#8
"Camaro Z28"#13.3#8
"Pontiac Firebird"#19.2#8
"Fiat X1-9"#27.3#4
"Porsche 914-2"#26#4
"Lotus Europa"#30.4#4
"Ford Pantera L"#15.8#8
"Ferrari Dino"#19.7#6
"Maserati Bora"#15#8
"Volvo 142E"#21.4#4
